Ligand,Binding Affinity,rmsd/ub, rmsd/lb
pre_3k60_pfhsp90_Compound_100_uff_E=653.94_uff_E=653.75,-8.2,0.0,0.0
pre_3k60_pfhsp90_Compound_100_uff_E=653.94_uff_E=653.75,-8.0,6.196,3.245
pre_3k60_pfhsp90_Compound_100_uff_E=653.94_uff_E=653.75,-7.9,8.431,3.183
pre_3k60_pfhsp90_Compound_100_uff_E=653.94_uff_E=653.75,-7.7,31.322,27.261
pre_3k60_pfhsp90_Compound_100_uff_E=653.94_uff_E=653.75,-7.7,6.47,2.82
pre_3k60_pfhsp90_Compound_100_uff_E=653.94_uff_E=653.75,-7.6,5.224,2.607
pre_3k60_pfhsp90_Compound_100_uff_E=653.94_uff_E=653.75,-7.6,5.029,1.954
pre_3k60_pfhsp90_Compound_100_uff_E=653.94_uff_E=653.75,-7.5,25.511,22.855
pre_3k60_pfhsp90_Compound_100_uff_E=653.94_uff_E=653.75,-7.3,26.813,24.025
pre_3k60_pfhsp90_Compound_101_uff_E=706.73_uff_E=700.28,-7.2,0.0,0.0
pre_3k60_pfhsp90_Compound_101_uff_E=706.73_uff_E=700.28,-7.2,21.822,17.197
pre_3k60_pfhsp90_Compound_101_uff_E=706.73_uff_E=700.28,-7.1,18.324,14.18
pre_3k60_pfhsp90_Compound_101_uff_E=706.73_uff_E=700.28,-7.1,18.327,14.061
pre_3k60_pfhsp90_Compound_101_uff_E=706.73_uff_E=700.28,-6.9,19.976,16.182
pre_3k60_pfhsp90_Compound_101_uff_E=706.73_uff_E=700.28,-6.9,18.601,13.947
pre_3k60_pfhsp90_Compound_101_uff_E=706.73_uff_E=700.28,-6.6,30.72,28.059
pre_3k60_pfhsp90_Compound_101_uff_E=706.73_uff_E=700.28,-6.5,19.466,15.635
pre_3k60_pfhsp90_Compound_101_uff_E=706.73_uff_E=700.28,-6.5,17.667,13.018
pre_3k60_pfhsp90_Compound_102_uff_E=251.75_uff_E=235.07,-8.7,0.0,0.0
pre_3k60_pfhsp90_Compound_102_uff_E=251.75_uff_E=235.07,-8.3,3.551,2.961
pre_3k60_pfhsp90_Compound_102_uff_E=251.75_uff_E=235.07,-8.2,2.114,1.529
pre_3k60_pfhsp90_Compound_102_uff_E=251.75_uff_E=235.07,-8.0,4.222,3.445
pre_3k60_pfhsp90_Compound_102_uff_E=251.75_uff_E=235.07,-7.9,12.498,6.473
pre_3k60_pfhsp90_Compound_102_uff_E=251.75_uff_E=235.07,-7.7,52.827,50.716
pre_3k60_pfhsp90_Compound_102_uff_E=251.75_uff_E=235.07,-7.6,28.844,27.462
pre_3k60_pfhsp90_Compound_102_uff_E=251.75_uff_E=235.07,-7.5,24.281,23.066
pre_3k60_pfhsp90_Compound_102_uff_E=251.75_uff_E=235.07,-7.5,27.718,24.838
pre_3k60_pfhsp90_Compound_103_uff_E=328.89_uff_E=328.80,-6.1,0.0,0.0
pre_3k60_pfhsp90_Compound_103_uff_E=328.89_uff_E=328.80,-5.9,5.686,4.03
pre_3k60_pfhsp90_Compound_103_uff_E=328.89_uff_E=328.80,-5.5,23.407,21.735
pre_3k60_pfhsp90_Compound_103_uff_E=328.89_uff_E=328.80,-5.5,5.357,4.054
pre_3k60_pfhsp90_Compound_103_uff_E=328.89_uff_E=328.80,-5.5,27.899,26.972
pre_3k60_pfhsp90_Compound_103_uff_E=328.89_uff_E=328.80,-5.4,22.4,21.101
pre_3k60_pfhsp90_Compound_103_uff_E=328.89_uff_E=328.80,-5.4,2.41,1.935
pre_3k60_pfhsp90_Compound_103_uff_E=328.89_uff_E=328.80,-5.4,18.979,18.247
pre_3k60_pfhsp90_Compound_103_uff_E=328.89_uff_E=328.80,-5.4,15.554,14.74
pre_3k60_pfhsp90_Compound_104_uff_E=203.96_uff_E=203.86,-6.8,0.0,0.0
pre_3k60_pfhsp90_Compound_104_uff_E=203.96_uff_E=203.86,-6.7,24.365,21.803
pre_3k60_pfhsp90_Compound_104_uff_E=203.96_uff_E=203.86,-6.7,2.857,0.269
pre_3k60_pfhsp90_Compound_104_uff_E=203.96_uff_E=203.86,-6.6,2.153,1.971
pre_3k60_pfhsp90_Compound_104_uff_E=203.96_uff_E=203.86,-6.6,24.215,21.729
pre_3k60_pfhsp90_Compound_104_uff_E=203.96_uff_E=203.86,-6.5,24.07,21.521
pre_3k60_pfhsp90_Compound_104_uff_E=203.96_uff_E=203.86,-6.3,23.814,21.386
pre_3k60_pfhsp90_Compound_104_uff_E=203.96_uff_E=203.86,-6.3,7.84,5.628
pre_3k60_pfhsp90_Compound_104_uff_E=203.96_uff_E=203.86,-6.1,7.593,5.603
pre_3k60_pfhsp90_Compound_105_uff_E=766.20_uff_E=765.71,-7.4,0.0,0.0
pre_3k60_pfhsp90_Compound_105_uff_E=766.20_uff_E=765.71,-7.2,8.515,1.973
pre_3k60_pfhsp90_Compound_105_uff_E=766.20_uff_E=765.71,-6.8,12.525,8.66
pre_3k60_pfhsp90_Compound_105_uff_E=766.20_uff_E=765.71,-6.7,5.27,3.338
pre_3k60_pfhsp90_Compound_105_uff_E=766.20_uff_E=765.71,-6.7,25.981,23.314
pre_3k60_pfhsp90_Compound_105_uff_E=766.20_uff_E=765.71,-6.5,12.399,8.551
pre_3k60_pfhsp90_Compound_105_uff_E=766.20_uff_E=765.71,-6.5,10.289,4.103
pre_3k60_pfhsp90_Compound_105_uff_E=766.20_uff_E=765.71,-6.4,12.549,8.684
pre_3k60_pfhsp90_Compound_105_uff_E=766.20_uff_E=765.71,-6.4,10.626,4.531
pre_3k60_pfhsp90_Compound_106_uff_E=783.28_uff_E=708.93,-6.6,0.0,0.0
pre_3k60_pfhsp90_Compound_106_uff_E=783.28_uff_E=708.93,-6.5,24.637,22.005
pre_3k60_pfhsp90_Compound_106_uff_E=783.28_uff_E=708.93,-6.5,38.872,36.147
pre_3k60_pfhsp90_Compound_106_uff_E=783.28_uff_E=708.93,-6.5,40.82,38.836
pre_3k60_pfhsp90_Compound_106_uff_E=783.28_uff_E=708.93,-6.5,33.153,30.159
pre_3k60_pfhsp90_Compound_106_uff_E=783.28_uff_E=708.93,-6.5,27.003,23.937
pre_3k60_pfhsp90_Compound_106_uff_E=783.28_uff_E=708.93,-6.5,31.68,28.908
pre_3k60_pfhsp90_Compound_106_uff_E=783.28_uff_E=708.93,-6.2,41.809,38.873
pre_3k60_pfhsp90_Compound_106_uff_E=783.28_uff_E=708.93,-6.2,7.065,5.132
pre_3k60_pfhsp90_Compound_107_uff_E=226.43_uff_E=223.57,-6.9,0.0,0.0
pre_3k60_pfhsp90_Compound_107_uff_E=226.43_uff_E=223.57,-6.6,31.429,29.337
pre_3k60_pfhsp90_Compound_107_uff_E=226.43_uff_E=223.57,-6.4,27.207,25.282
pre_3k60_pfhsp90_Compound_107_uff_E=226.43_uff_E=223.57,-6.4,29.194,27.33
pre_3k60_pfhsp90_Compound_107_uff_E=226.43_uff_E=223.57,-6.3,30.739,27.67
pre_3k60_pfhsp90_Compound_107_uff_E=226.43_uff_E=223.57,-6.3,24.477,22.177
pre_3k60_pfhsp90_Compound_107_uff_E=226.43_uff_E=223.57,-6.2,26.538,25.347
pre_3k60_pfhsp90_Compound_107_uff_E=226.43_uff_E=223.57,-6.2,28.902,26.388
pre_3k60_pfhsp90_Compound_107_uff_E=226.43_uff_E=223.57,-6.1,28.849,26.762
pre_3k60_pfhsp90_Compound_108_uff_E=484.19_uff_E=484.10,-6.7,0.0,0.0
pre_3k60_pfhsp90_Compound_108_uff_E=484.19_uff_E=484.10,-6.6,9.73,6.557
pre_3k60_pfhsp90_Compound_108_uff_E=484.19_uff_E=484.10,-6.5,25.667,22.892
pre_3k60_pfhsp90_Compound_108_uff_E=484.19_uff_E=484.10,-6.4,27.71,25.335
pre_3k60_pfhsp90_Compound_108_uff_E=484.19_uff_E=484.10,-6.3,31.221,28.572
pre_3k60_pfhsp90_Compound_108_uff_E=484.19_uff_E=484.10,-6.2,5.926,1.397
pre_3k60_pfhsp90_Compound_108_uff_E=484.19_uff_E=484.10,-6.2,8.752,5.933
pre_3k60_pfhsp90_Compound_108_uff_E=484.19_uff_E=484.10,-6.2,4.664,2.471
pre_3k60_pfhsp90_Compound_108_uff_E=484.19_uff_E=484.10,-6.2,5.569,2.516
pre_3k60_pfhsp90_Compound_109_uff_E=80.52_uff_E=80.42,-5.5,0.0,0.0
pre_3k60_pfhsp90_Compound_109_uff_E=80.52_uff_E=80.42,-5.1,3.284,1.704
pre_3k60_pfhsp90_Compound_109_uff_E=80.52_uff_E=80.42,-5.1,5.233,2.699
pre_3k60_pfhsp90_Compound_109_uff_E=80.52_uff_E=80.42,-5.0,4.112,2.714
pre_3k60_pfhsp90_Compound_109_uff_E=80.52_uff_E=80.42,-5.0,18.561,17.019
pre_3k60_pfhsp90_Compound_109_uff_E=80.52_uff_E=80.42,-4.8,3.325,2.052
pre_3k60_pfhsp90_Compound_109_uff_E=80.52_uff_E=80.42,-4.8,5.379,3.083
pre_3k60_pfhsp90_Compound_109_uff_E=80.52_uff_E=80.42,-4.7,5.58,2.655
pre_3k60_pfhsp90_Compound_109_uff_E=80.52_uff_E=80.42,-4.7,6.253,3.312
pre_3k60_pfhsp90_Compound_10_uff_E=244.17_uff_E=244.13,-6.1,0.0,0.0
pre_3k60_pfhsp90_Compound_10_uff_E=244.17_uff_E=244.13,-5.6,10.325,7.668
pre_3k60_pfhsp90_Compound_10_uff_E=244.17_uff_E=244.13,-5.5,28.981,27.471
pre_3k60_pfhsp90_Compound_10_uff_E=244.17_uff_E=244.13,-5.4,10.0,7.743
pre_3k60_pfhsp90_Compound_10_uff_E=244.17_uff_E=244.13,-5.4,10.493,8.28
pre_3k60_pfhsp90_Compound_10_uff_E=244.17_uff_E=244.13,-5.3,5.807,3.89
pre_3k60_pfhsp90_Compound_10_uff_E=244.17_uff_E=244.13,-5.2,30.888,29.163
pre_3k60_pfhsp90_Compound_10_uff_E=244.17_uff_E=244.13,-5.1,27.747,26.229
pre_3k60_pfhsp90_Compound_10_uff_E=244.17_uff_E=244.13,-5.0,27.156,25.879
pre_3k60_pfhsp90_Compound_110_uff_E=544.19_uff_E=544.10,-7.4,0.0,0.0
pre_3k60_pfhsp90_Compound_110_uff_E=544.19_uff_E=544.10,-7.1,14.386,11.566
pre_3k60_pfhsp90_Compound_110_uff_E=544.19_uff_E=544.10,-7.1,5.446,2.485
pre_3k60_pfhsp90_Compound_110_uff_E=544.19_uff_E=544.10,-6.9,10.703,8.501
pre_3k60_pfhsp90_Compound_110_uff_E=544.19_uff_E=544.10,-6.6,21.676,19.904
pre_3k60_pfhsp90_Compound_110_uff_E=544.19_uff_E=544.10,-6.6,20.324,18.666
pre_3k60_pfhsp90_Compound_110_uff_E=544.19_uff_E=544.10,-6.6,11.437,8.604
pre_3k60_pfhsp90_Compound_110_uff_E=544.19_uff_E=544.10,-6.5,26.882,24.205
pre_3k60_pfhsp90_Compound_110_uff_E=544.19_uff_E=544.10,-6.4,21.176,19.339
pre_3k60_pfhsp90_Compound_111_uff_E=507.78_uff_E=507.55,-8.2,0.0,0.0
pre_3k60_pfhsp90_Compound_111_uff_E=507.78_uff_E=507.55,-7.4,5.151,1.551
pre_3k60_pfhsp90_Compound_111_uff_E=507.78_uff_E=507.55,-7.2,17.316,13.389
pre_3k60_pfhsp90_Compound_111_uff_E=507.78_uff_E=507.55,-7.1,5.187,2.409
pre_3k60_pfhsp90_Compound_111_uff_E=507.78_uff_E=507.55,-6.9,27.145,24.77
pre_3k60_pfhsp90_Compound_111_uff_E=507.78_uff_E=507.55,-6.8,20.347,18.194
pre_3k60_pfhsp90_Compound_111_uff_E=507.78_uff_E=507.55,-6.7,2.465,1.614
pre_3k60_pfhsp90_Compound_111_uff_E=507.78_uff_E=507.55,-6.7,11.361,8.333
pre_3k60_pfhsp90_Compound_111_uff_E=507.78_uff_E=507.55,-6.7,3.48,2.279
pre_3k60_pfhsp90_Compound_112_uff_E=401.24_uff_E=401.01,-7.3,0.0,0.0
pre_3k60_pfhsp90_Compound_112_uff_E=401.24_uff_E=401.01,-7.2,10.982,5.004
pre_3k60_pfhsp90_Compound_112_uff_E=401.24_uff_E=401.01,-7.1,9.814,3.903
pre_3k60_pfhsp90_Compound_112_uff_E=401.24_uff_E=401.01,-6.9,24.564,22.197
pre_3k60_pfhsp90_Compound_112_uff_E=401.24_uff_E=401.01,-6.7,6.506,3.797
pre_3k60_pfhsp90_Compound_112_uff_E=401.24_uff_E=401.01,-6.7,8.532,2.929
pre_3k60_pfhsp90_Compound_112_uff_E=401.24_uff_E=401.01,-6.6,7.316,3.438
pre_3k60_pfhsp90_Compound_112_uff_E=401.24_uff_E=401.01,-6.5,27.842,25.535
pre_3k60_pfhsp90_Compound_112_uff_E=401.24_uff_E=401.01,-6.5,25.463,23.555
pre_3k60_pfhsp90_Compound_113_uff_E=432.02_uff_E=385.54,-7.6,0.0,0.0
pre_3k60_pfhsp90_Compound_113_uff_E=432.02_uff_E=385.54,-7.5,10.664,8.116
pre_3k60_pfhsp90_Compound_113_uff_E=432.02_uff_E=385.54,-7.5,8.309,3.443
pre_3k60_pfhsp90_Compound_113_uff_E=432.02_uff_E=385.54,-7.3,25.467,23.446
pre_3k60_pfhsp90_Compound_113_uff_E=432.02_uff_E=385.54,-7.0,31.309,28.78
pre_3k60_pfhsp90_Compound_113_uff_E=432.02_uff_E=385.54,-7.0,28.101,26.064
pre_3k60_pfhsp90_Compound_113_uff_E=432.02_uff_E=385.54,-7.0,30.805,28.35
pre_3k60_pfhsp90_Compound_113_uff_E=432.02_uff_E=385.54,-6.9,44.402,42.605
pre_3k60_pfhsp90_Compound_113_uff_E=432.02_uff_E=385.54,-6.8,9.203,3.803
pre_3k60_pfhsp90_Compound_114_uff_E=132.46_uff_E=132.38,-6.4,0.0,0.0
pre_3k60_pfhsp90_Compound_114_uff_E=132.46_uff_E=132.38,-6.2,8.898,2.0
pre_3k60_pfhsp90_Compound_114_uff_E=132.46_uff_E=132.38,-6.1,28.938,25.964
pre_3k60_pfhsp90_Compound_114_uff_E=132.46_uff_E=132.38,-6.1,27.721,24.842
pre_3k60_pfhsp90_Compound_114_uff_E=132.46_uff_E=132.38,-6.0,26.959,24.174
pre_3k60_pfhsp90_Compound_114_uff_E=132.46_uff_E=132.38,-6.0,30.917,27.759
pre_3k60_pfhsp90_Compound_114_uff_E=132.46_uff_E=132.38,-6.0,9.665,2.173
pre_3k60_pfhsp90_Compound_114_uff_E=132.46_uff_E=132.38,-6.0,2.374,1.583
pre_3k60_pfhsp90_Compound_114_uff_E=132.46_uff_E=132.38,-5.8,4.097,2.175
pre_3k60_pfhsp90_Compound_115_uff_E=213.72_uff_E=213.63,-7.9,0.0,0.0
pre_3k60_pfhsp90_Compound_115_uff_E=213.72_uff_E=213.63,-7.7,24.403,20.837
pre_3k60_pfhsp90_Compound_115_uff_E=213.72_uff_E=213.63,-7.3,29.554,25.958
pre_3k60_pfhsp90_Compound_115_uff_E=213.72_uff_E=213.63,-7.0,2.27,1.306
pre_3k60_pfhsp90_Compound_115_uff_E=213.72_uff_E=213.63,-7.0,1.928,1.503
pre_3k60_pfhsp90_Compound_115_uff_E=213.72_uff_E=213.63,-6.9,33.013,29.522
pre_3k60_pfhsp90_Compound_115_uff_E=213.72_uff_E=213.63,-6.9,31.643,28.022
pre_3k60_pfhsp90_Compound_115_uff_E=213.72_uff_E=213.63,-6.8,21.206,17.96
pre_3k60_pfhsp90_Compound_115_uff_E=213.72_uff_E=213.63,-6.7,38.827,35.787
pre_3k60_pfhsp90_Compound_116_uff_E=963.32_uff_E=963.22,-7.9,0.0,0.0
pre_3k60_pfhsp90_Compound_116_uff_E=963.32_uff_E=963.22,-7.7,8.833,4.827
pre_3k60_pfhsp90_Compound_116_uff_E=963.32_uff_E=963.22,-7.6,11.275,8.373
pre_3k60_pfhsp90_Compound_116_uff_E=963.32_uff_E=963.22,-7.5,31.211,28.122
pre_3k60_pfhsp90_Compound_116_uff_E=963.32_uff_E=963.22,-7.5,9.683,6.79
pre_3k60_pfhsp90_Compound_116_uff_E=963.32_uff_E=963.22,-7.4,7.389,4.84
pre_3k60_pfhsp90_Compound_116_uff_E=963.32_uff_E=963.22,-7.2,5.946,0.838
pre_3k60_pfhsp90_Compound_116_uff_E=963.32_uff_E=963.22,-7.2,5.305,3.733
pre_3k60_pfhsp90_Compound_116_uff_E=963.32_uff_E=963.22,-7.0,36.287,32.937
pre_3k60_pfhsp90_Compound_117_uff_E=687.78_uff_E=687.72,-7.5,0.0,0.0
pre_3k60_pfhsp90_Compound_117_uff_E=687.78_uff_E=687.72,-7.5,2.235,1.502
pre_3k60_pfhsp90_Compound_117_uff_E=687.78_uff_E=687.72,-7.4,9.232,4.406
pre_3k60_pfhsp90_Compound_117_uff_E=687.78_uff_E=687.72,-7.4,2.036,1.502
pre_3k60_pfhsp90_Compound_117_uff_E=687.78_uff_E=687.72,-7.1,9.369,4.401
pre_3k60_pfhsp90_Compound_117_uff_E=687.78_uff_E=687.72,-7.1,11.676,8.379
pre_3k60_pfhsp90_Compound_117_uff_E=687.78_uff_E=687.72,-6.9,13.656,9.821
pre_3k60_pfhsp90_Compound_117_uff_E=687.78_uff_E=687.72,-6.9,3.022,2.288
pre_3k60_pfhsp90_Compound_117_uff_E=687.78_uff_E=687.72,-6.7,20.11,18.374
pre_3k60_pfhsp90_Compound_118_uff_E=379.24_uff_E=379.02,-7.5,0.0,0.0
pre_3k60_pfhsp90_Compound_118_uff_E=379.24_uff_E=379.02,-7.0,7.962,4.539
pre_3k60_pfhsp90_Compound_118_uff_E=379.24_uff_E=379.02,-6.7,22.574,20.2
pre_3k60_pfhsp90_Compound_118_uff_E=379.24_uff_E=379.02,-6.5,23.929,21.913
pre_3k60_pfhsp90_Compound_118_uff_E=379.24_uff_E=379.02,-6.4,2.662,2.19
pre_3k60_pfhsp90_Compound_118_uff_E=379.24_uff_E=379.02,-6.4,23.513,21.615
pre_3k60_pfhsp90_Compound_118_uff_E=379.24_uff_E=379.02,-6.4,23.615,21.847
pre_3k60_pfhsp90_Compound_118_uff_E=379.24_uff_E=379.02,-6.3,33.037,30.109
pre_3k60_pfhsp90_Compound_118_uff_E=379.24_uff_E=379.02,-6.3,23.346,20.206
pre_3k60_pfhsp90_Compound_119_uff_E=280.32_uff_E=277.44,-4.9,0.0,0.0
pre_3k60_pfhsp90_Compound_119_uff_E=280.32_uff_E=277.44,-4.8,53.721,52.88
pre_3k60_pfhsp90_Compound_119_uff_E=280.32_uff_E=277.44,-4.7,39.64,38.566
pre_3k60_pfhsp90_Compound_119_uff_E=280.32_uff_E=277.44,-4.6,53.709,52.841
pre_3k60_pfhsp90_Compound_119_uff_E=280.32_uff_E=277.44,-4.6,40.599,39.525
pre_3k60_pfhsp90_Compound_119_uff_E=280.32_uff_E=277.44,-4.5,29.534,28.333
pre_3k60_pfhsp90_Compound_119_uff_E=280.32_uff_E=277.44,-4.5,29.466,28.256
pre_3k60_pfhsp90_Compound_119_uff_E=280.32_uff_E=277.44,-4.4,39.782,38.68
pre_3k60_pfhsp90_Compound_119_uff_E=280.32_uff_E=277.44,-4.4,27.106,26.135
pre_3k60_pfhsp90_Compound_11_uff_E=329.62_uff_E=329.57,-8.7,0.0,0.0
pre_3k60_pfhsp90_Compound_11_uff_E=329.62_uff_E=329.57,-8.7,10.745,0.072
pre_3k60_pfhsp90_Compound_11_uff_E=329.62_uff_E=329.57,-8.7,1.787,1.247
pre_3k60_pfhsp90_Compound_11_uff_E=329.62_uff_E=329.57,-8.6,10.594,1.251
pre_3k60_pfhsp90_Compound_11_uff_E=329.62_uff_E=329.57,-8.3,2.524,1.526
pre_3k60_pfhsp90_Compound_11_uff_E=329.62_uff_E=329.57,-7.8,10.822,1.77
pre_3k60_pfhsp90_Compound_11_uff_E=329.62_uff_E=329.57,-7.7,2.711,1.985
pre_3k60_pfhsp90_Compound_11_uff_E=329.62_uff_E=329.57,-7.5,12.44,7.157
pre_3k60_pfhsp90_Compound_11_uff_E=329.62_uff_E=329.57,-7.5,15.994,7.077
pre_3k60_pfhsp90_Compound_120_uff_E=1670.87_uff_E=1517.96,-8.1,0.0,0.0
pre_3k60_pfhsp90_Compound_120_uff_E=1670.87_uff_E=1517.96,-7.9,7.955,4.492
pre_3k60_pfhsp90_Compound_120_uff_E=1670.87_uff_E=1517.96,-7.6,4.324,2.503
pre_3k60_pfhsp90_Compound_120_uff_E=1670.87_uff_E=1517.96,-7.6,2.049,1.411
pre_3k60_pfhsp90_Compound_120_uff_E=1670.87_uff_E=1517.96,-7.5,9.046,4.463
pre_3k60_pfhsp90_Compound_120_uff_E=1670.87_uff_E=1517.96,-7.4,24.262,20.07
pre_3k60_pfhsp90_Compound_120_uff_E=1670.87_uff_E=1517.96,-7.4,7.198,4.265
pre_3k60_pfhsp90_Compound_120_uff_E=1670.87_uff_E=1517.96,-7.4,11.999,5.346
pre_3k60_pfhsp90_Compound_120_uff_E=1670.87_uff_E=1517.96,-7.3,8.891,5.283
pre_3k60_pfhsp90_Compound_121_uff_E=1813.12_uff_E=1811.73,-7.7,0.0,0.0
pre_3k60_pfhsp90_Compound_121_uff_E=1813.12_uff_E=1811.73,-7.5,8.637,5.634
pre_3k60_pfhsp90_Compound_121_uff_E=1813.12_uff_E=1811.73,-7.4,8.766,1.455
pre_3k60_pfhsp90_Compound_121_uff_E=1813.12_uff_E=1811.73,-7.2,9.621,5.78
pre_3k60_pfhsp90_Compound_121_uff_E=1813.12_uff_E=1811.73,-7.2,3.629,2.601
pre_3k60_pfhsp90_Compound_121_uff_E=1813.12_uff_E=1811.73,-7.1,9.304,2.82
pre_3k60_pfhsp90_Compound_121_uff_E=1813.12_uff_E=1811.73,-7.0,8.661,4.656
pre_3k60_pfhsp90_Compound_121_uff_E=1813.12_uff_E=1811.73,-7.0,3.331,1.828
pre_3k60_pfhsp90_Compound_121_uff_E=1813.12_uff_E=1811.73,-7.0,25.972,22.704
pre_3k60_pfhsp90_Compound_122_uff_E=1554.24_uff_E=1554.14,-5.9,0.0,0.0
pre_3k60_pfhsp90_Compound_122_uff_E=1554.24_uff_E=1554.14,-5.6,3.673,1.832
pre_3k60_pfhsp90_Compound_122_uff_E=1554.24_uff_E=1554.14,-5.3,12.324,10.471
pre_3k60_pfhsp90_Compound_122_uff_E=1554.24_uff_E=1554.14,-5.2,26.43,24.544
pre_3k60_pfhsp90_Compound_122_uff_E=1554.24_uff_E=1554.14,-5.2,21.958,20.116
pre_3k60_pfhsp90_Compound_122_uff_E=1554.24_uff_E=1554.14,-5.0,26.858,25.018
pre_3k60_pfhsp90_Compound_122_uff_E=1554.24_uff_E=1554.14,-5.0,9.13,7.048
pre_3k60_pfhsp90_Compound_122_uff_E=1554.24_uff_E=1554.14,-5.0,21.685,20.035
pre_3k60_pfhsp90_Compound_122_uff_E=1554.24_uff_E=1554.14,-4.9,18.88,17.813
pre_3k60_pfhsp90_Compound_123_uff_E=152.68_uff_E=152.59,-5.9,0.0,0.0
pre_3k60_pfhsp90_Compound_123_uff_E=152.68_uff_E=152.59,-5.7,53.917,52.935
pre_3k60_pfhsp90_Compound_123_uff_E=152.68_uff_E=152.59,-5.7,53.787,53.029
pre_3k60_pfhsp90_Compound_123_uff_E=152.68_uff_E=152.59,-5.6,53.154,52.222
pre_3k60_pfhsp90_Compound_123_uff_E=152.68_uff_E=152.59,-5.6,53.373,52.586
pre_3k60_pfhsp90_Compound_123_uff_E=152.68_uff_E=152.59,-5.4,22.738,21.213
pre_3k60_pfhsp90_Compound_123_uff_E=152.68_uff_E=152.59,-5.3,37.716,36.716
pre_3k60_pfhsp90_Compound_123_uff_E=152.68_uff_E=152.59,-5.3,40.779,39.188
pre_3k60_pfhsp90_Compound_123_uff_E=152.68_uff_E=152.59,-5.3,53.97,53.182
pre_3k60_pfhsp90_Compound_124_uff_E=387.92_uff_E=370.96,-7.4,0.0,0.0
pre_3k60_pfhsp90_Compound_124_uff_E=387.92_uff_E=370.96,-6.9,24.883,23.284
pre_3k60_pfhsp90_Compound_124_uff_E=387.92_uff_E=370.96,-6.9,25.066,23.114
pre_3k60_pfhsp90_Compound_124_uff_E=387.92_uff_E=370.96,-6.7,15.462,12.632
pre_3k60_pfhsp90_Compound_124_uff_E=387.92_uff_E=370.96,-6.6,26.848,25.061
pre_3k60_pfhsp90_Compound_124_uff_E=387.92_uff_E=370.96,-6.5,2.113,1.607
pre_3k60_pfhsp90_Compound_124_uff_E=387.92_uff_E=370.96,-6.4,27.572,23.926
pre_3k60_pfhsp90_Compound_124_uff_E=387.92_uff_E=370.96,-6.3,7.276,5.093
pre_3k60_pfhsp90_Compound_124_uff_E=387.92_uff_E=370.96,-6.2,22.595,19.609
pre_3k60_pfhsp90_Compound_125_uff_E=1149.83_uff_E=1116.98,-7.1,0.0,0.0
pre_3k60_pfhsp90_Compound_125_uff_E=1149.83_uff_E=1116.98,-7.0,6.746,3.032
pre_3k60_pfhsp90_Compound_125_uff_E=1149.83_uff_E=1116.98,-6.9,6.033,2.18
pre_3k60_pfhsp90_Compound_125_uff_E=1149.83_uff_E=1116.98,-6.6,13.006,5.197
pre_3k60_pfhsp90_Compound_125_uff_E=1149.83_uff_E=1116.98,-6.5,13.04,5.125
pre_3k60_pfhsp90_Compound_125_uff_E=1149.83_uff_E=1116.98,-6.4,5.35,2.201
pre_3k60_pfhsp90_Compound_125_uff_E=1149.83_uff_E=1116.98,-6.4,10.864,3.534
pre_3k60_pfhsp90_Compound_125_uff_E=1149.83_uff_E=1116.98,-6.4,10.923,2.735
pre_3k60_pfhsp90_Compound_125_uff_E=1149.83_uff_E=1116.98,-6.3,4.105,2.133
pre_3k60_pfhsp90_Compound_126_uff_E=123.48_uff_E=123.39,-6.9,0.0,0.0
pre_3k60_pfhsp90_Compound_126_uff_E=123.48_uff_E=123.39,-6.8,28.358,27.144
pre_3k60_pfhsp90_Compound_126_uff_E=123.48_uff_E=123.39,-6.4,14.477,11.365
pre_3k60_pfhsp90_Compound_126_uff_E=123.48_uff_E=123.39,-6.3,10.901,7.77
pre_3k60_pfhsp90_Compound_126_uff_E=123.48_uff_E=123.39,-6.1,14.314,11.253
pre_3k60_pfhsp90_Compound_126_uff_E=123.48_uff_E=123.39,-6.1,13.35,10.263
pre_3k60_pfhsp90_Compound_126_uff_E=123.48_uff_E=123.39,-6.1,9.603,8.154
pre_3k60_pfhsp90_Compound_126_uff_E=123.48_uff_E=123.39,-6.0,16.7,12.944
pre_3k60_pfhsp90_Compound_126_uff_E=123.48_uff_E=123.39,-6.0,53.56,52.364
pre_3k60_pfhsp90_Compound_127_uff_E=352.93_uff_E=352.73,-7.7,0.0,0.0
pre_3k60_pfhsp90_Compound_127_uff_E=352.93_uff_E=352.73,-7.4,2.388,1.596
pre_3k60_pfhsp90_Compound_127_uff_E=352.93_uff_E=352.73,-7.4,6.977,2.845
pre_3k60_pfhsp90_Compound_127_uff_E=352.93_uff_E=352.73,-7.2,12.831,8.923
pre_3k60_pfhsp90_Compound_127_uff_E=352.93_uff_E=352.73,-7.2,6.998,2.755
pre_3k60_pfhsp90_Compound_127_uff_E=352.93_uff_E=352.73,-7.0,5.192,3.549
pre_3k60_pfhsp90_Compound_127_uff_E=352.93_uff_E=352.73,-7.0,26.242,24.484
pre_3k60_pfhsp90_Compound_127_uff_E=352.93_uff_E=352.73,-6.9,7.291,3.414
pre_3k60_pfhsp90_Compound_127_uff_E=352.93_uff_E=352.73,-6.9,25.181,24.071
pre_3k60_pfhsp90_Compound_128_uff_E=341.80_uff_E=341.71,-5.1,0.0,0.0
pre_3k60_pfhsp90_Compound_128_uff_E=341.80_uff_E=341.71,-5.1,33.659,31.667
