Ligand,Binding Affinity,rmsd/ub, rmsd/lb
pre_6m20_pfHt1_Compound_100_uff_E=653.94_uff_E=653.75,-8.1,0.0,0.0
pre_6m20_pfHt1_Compound_100_uff_E=653.94_uff_E=653.75,-8.0,2.256,1.716
pre_6m20_pfHt1_Compound_100_uff_E=653.94_uff_E=653.75,-8.0,7.442,2.659
pre_6m20_pfHt1_Compound_100_uff_E=653.94_uff_E=653.75,-7.9,4.981,1.775
pre_6m20_pfHt1_Compound_100_uff_E=653.94_uff_E=653.75,-7.8,5.433,2.383
pre_6m20_pfHt1_Compound_100_uff_E=653.94_uff_E=653.75,-7.2,6.29,3.666
pre_6m20_pfHt1_Compound_100_uff_E=653.94_uff_E=653.75,-7.2,6.711,3.233
pre_6m20_pfHt1_Compound_100_uff_E=653.94_uff_E=653.75,-7.2,11.404,10.16
pre_6m20_pfHt1_Compound_100_uff_E=653.94_uff_E=653.75,-7.1,6.252,2.478
pre_6m20_pfHt1_Compound_101_uff_E=706.73_uff_E=700.28,-6.8,0.0,0.0
pre_6m20_pfHt1_Compound_101_uff_E=706.73_uff_E=700.28,-6.8,6.232,3.709
pre_6m20_pfHt1_Compound_101_uff_E=706.73_uff_E=700.28,-6.2,8.582,3.573
pre_6m20_pfHt1_Compound_101_uff_E=706.73_uff_E=700.28,-6.1,5.128,3.028
pre_6m20_pfHt1_Compound_101_uff_E=706.73_uff_E=700.28,-5.9,4.809,3.32
pre_6m20_pfHt1_Compound_101_uff_E=706.73_uff_E=700.28,-5.8,3.307,2.252
pre_6m20_pfHt1_Compound_101_uff_E=706.73_uff_E=700.28,-5.8,8.066,2.877
pre_6m20_pfHt1_Compound_101_uff_E=706.73_uff_E=700.28,-5.7,2.449,1.721
pre_6m20_pfHt1_Compound_101_uff_E=706.73_uff_E=700.28,-5.6,6.358,4.435
pre_6m20_pfHt1_Compound_102_uff_E=251.75_uff_E=235.07,-7.0,0.0,0.0
pre_6m20_pfHt1_Compound_102_uff_E=251.75_uff_E=235.07,-6.9,7.276,1.335
pre_6m20_pfHt1_Compound_102_uff_E=251.75_uff_E=235.07,-6.8,6.838,3.189
pre_6m20_pfHt1_Compound_102_uff_E=251.75_uff_E=235.07,-6.8,8.88,3.193
pre_6m20_pfHt1_Compound_102_uff_E=251.75_uff_E=235.07,-6.8,6.645,3.507
pre_6m20_pfHt1_Compound_102_uff_E=251.75_uff_E=235.07,-6.4,6.371,3.375
pre_6m20_pfHt1_Compound_102_uff_E=251.75_uff_E=235.07,-6.4,5.986,4.013
pre_6m20_pfHt1_Compound_102_uff_E=251.75_uff_E=235.07,-6.4,9.478,3.135
pre_6m20_pfHt1_Compound_102_uff_E=251.75_uff_E=235.07,-6.4,4.418,3.614
pre_6m20_pfHt1_Compound_103_uff_E=328.89_uff_E=328.80,-5.8,0.0,0.0
pre_6m20_pfHt1_Compound_103_uff_E=328.89_uff_E=328.80,-5.8,10.47,9.81
pre_6m20_pfHt1_Compound_103_uff_E=328.89_uff_E=328.80,-5.4,1.857,1.526
pre_6m20_pfHt1_Compound_103_uff_E=328.89_uff_E=328.80,-5.2,9.801,9.369
pre_6m20_pfHt1_Compound_103_uff_E=328.89_uff_E=328.80,-5.1,4.501,3.357
pre_6m20_pfHt1_Compound_103_uff_E=328.89_uff_E=328.80,-5.1,11.916,11.115
pre_6m20_pfHt1_Compound_103_uff_E=328.89_uff_E=328.80,-5.0,10.296,9.643
pre_6m20_pfHt1_Compound_103_uff_E=328.89_uff_E=328.80,-4.8,10.488,10.168
pre_6m20_pfHt1_Compound_103_uff_E=328.89_uff_E=328.80,-4.7,11.623,10.915
pre_6m20_pfHt1_Compound_104_uff_E=203.96_uff_E=203.86,-6.2,0.0,0.0
pre_6m20_pfHt1_Compound_104_uff_E=203.96_uff_E=203.86,-6.0,13.058,11.024
pre_6m20_pfHt1_Compound_104_uff_E=203.96_uff_E=203.86,-6.0,13.483,11.482
pre_6m20_pfHt1_Compound_104_uff_E=203.96_uff_E=203.86,-5.9,13.24,11.334
pre_6m20_pfHt1_Compound_104_uff_E=203.96_uff_E=203.86,-5.8,13.566,11.04
pre_6m20_pfHt1_Compound_104_uff_E=203.96_uff_E=203.86,-5.8,6.421,3.913
pre_6m20_pfHt1_Compound_104_uff_E=203.96_uff_E=203.86,-5.7,6.871,3.908
pre_6m20_pfHt1_Compound_104_uff_E=203.96_uff_E=203.86,-5.6,14.172,11.557
pre_6m20_pfHt1_Compound_104_uff_E=203.96_uff_E=203.86,-5.6,14.447,11.795
pre_6m20_pfHt1_Compound_105_uff_E=766.20_uff_E=765.71,-6.2,0.0,0.0
pre_6m20_pfHt1_Compound_105_uff_E=766.20_uff_E=765.71,-6.1,10.972,4.975
pre_6m20_pfHt1_Compound_105_uff_E=766.20_uff_E=765.71,-6.1,8.081,3.504
pre_6m20_pfHt1_Compound_105_uff_E=766.20_uff_E=765.71,-6.0,4.216,2.748
pre_6m20_pfHt1_Compound_105_uff_E=766.20_uff_E=765.71,-5.9,4.464,2.176
pre_6m20_pfHt1_Compound_105_uff_E=766.20_uff_E=765.71,-5.8,5.104,3.467
pre_6m20_pfHt1_Compound_105_uff_E=766.20_uff_E=765.71,-5.7,11.143,6.136
pre_6m20_pfHt1_Compound_105_uff_E=766.20_uff_E=765.71,-5.7,4.667,2.843
pre_6m20_pfHt1_Compound_105_uff_E=766.20_uff_E=765.71,-5.6,2.546,1.744
pre_6m20_pfHt1_Compound_106_uff_E=783.28_uff_E=708.93,-6.8,0.0,0.0
pre_6m20_pfHt1_Compound_106_uff_E=783.28_uff_E=708.93,-6.7,7.252,4.607
pre_6m20_pfHt1_Compound_106_uff_E=783.28_uff_E=708.93,-6.6,7.912,5.132
pre_6m20_pfHt1_Compound_106_uff_E=783.28_uff_E=708.93,-6.6,8.175,5.342
pre_6m20_pfHt1_Compound_106_uff_E=783.28_uff_E=708.93,-6.5,7.403,3.581
pre_6m20_pfHt1_Compound_106_uff_E=783.28_uff_E=708.93,-6.5,7.153,3.495
pre_6m20_pfHt1_Compound_106_uff_E=783.28_uff_E=708.93,-6.4,7.829,3.577
pre_6m20_pfHt1_Compound_106_uff_E=783.28_uff_E=708.93,-6.4,7.321,4.021
pre_6m20_pfHt1_Compound_106_uff_E=783.28_uff_E=708.93,-6.4,7.47,3.422
pre_6m20_pfHt1_Compound_107_uff_E=226.43_uff_E=223.57,-6.5,0.0,0.0
pre_6m20_pfHt1_Compound_107_uff_E=226.43_uff_E=223.57,-6.3,7.473,2.159
pre_6m20_pfHt1_Compound_107_uff_E=226.43_uff_E=223.57,-6.2,7.405,2.953
pre_6m20_pfHt1_Compound_107_uff_E=226.43_uff_E=223.57,-6.1,2.045,1.036
pre_6m20_pfHt1_Compound_107_uff_E=226.43_uff_E=223.57,-6.0,7.481,1.388
pre_6m20_pfHt1_Compound_107_uff_E=226.43_uff_E=223.57,-5.9,8.085,3.434
pre_6m20_pfHt1_Compound_107_uff_E=226.43_uff_E=223.57,-5.9,7.679,1.63
pre_6m20_pfHt1_Compound_107_uff_E=226.43_uff_E=223.57,-5.8,6.538,3.024
pre_6m20_pfHt1_Compound_107_uff_E=226.43_uff_E=223.57,-5.8,5.317,3.756
pre_6m20_pfHt1_Compound_108_uff_E=484.19_uff_E=484.10,-6.3,0.0,0.0
pre_6m20_pfHt1_Compound_108_uff_E=484.19_uff_E=484.10,-6.0,5.131,3.648
pre_6m20_pfHt1_Compound_108_uff_E=484.19_uff_E=484.10,-6.0,5.244,2.336
pre_6m20_pfHt1_Compound_108_uff_E=484.19_uff_E=484.10,-5.9,5.153,2.218
pre_6m20_pfHt1_Compound_108_uff_E=484.19_uff_E=484.10,-5.9,2.931,1.916
pre_6m20_pfHt1_Compound_108_uff_E=484.19_uff_E=484.10,-5.8,5.855,2.85
pre_6m20_pfHt1_Compound_108_uff_E=484.19_uff_E=484.10,-5.8,4.51,2.919
pre_6m20_pfHt1_Compound_108_uff_E=484.19_uff_E=484.10,-5.8,3.521,2.067
pre_6m20_pfHt1_Compound_108_uff_E=484.19_uff_E=484.10,-5.7,5.095,2.484
pre_6m20_pfHt1_Compound_109_uff_E=80.52_uff_E=80.42,-4.7,0.0,0.0
pre_6m20_pfHt1_Compound_109_uff_E=80.52_uff_E=80.42,-4.5,13.106,10.968
pre_6m20_pfHt1_Compound_109_uff_E=80.52_uff_E=80.42,-4.3,3.288,1.308
pre_6m20_pfHt1_Compound_109_uff_E=80.52_uff_E=80.42,-4.1,3.774,2.011
pre_6m20_pfHt1_Compound_109_uff_E=80.52_uff_E=80.42,-4.1,3.386,1.359
pre_6m20_pfHt1_Compound_109_uff_E=80.52_uff_E=80.42,-4.0,12.767,10.647
pre_6m20_pfHt1_Compound_109_uff_E=80.52_uff_E=80.42,-3.8,3.922,2.292
pre_6m20_pfHt1_Compound_109_uff_E=80.52_uff_E=80.42,-3.8,3.771,2.303
pre_6m20_pfHt1_Compound_109_uff_E=80.52_uff_E=80.42,-3.7,2.523,2.076
pre_6m20_pfHt1_Compound_10_uff_E=244.17_uff_E=244.13,-5.8,0.0,0.0
pre_6m20_pfHt1_Compound_10_uff_E=244.17_uff_E=244.13,-5.6,12.988,11.132
pre_6m20_pfHt1_Compound_10_uff_E=244.17_uff_E=244.13,-5.4,11.69,9.748
pre_6m20_pfHt1_Compound_10_uff_E=244.17_uff_E=244.13,-5.4,11.831,10.1
pre_6m20_pfHt1_Compound_10_uff_E=244.17_uff_E=244.13,-5.2,11.736,10.922
pre_6m20_pfHt1_Compound_10_uff_E=244.17_uff_E=244.13,-5.2,12.336,10.442
pre_6m20_pfHt1_Compound_10_uff_E=244.17_uff_E=244.13,-5.1,7.824,5.147
pre_6m20_pfHt1_Compound_10_uff_E=244.17_uff_E=244.13,-5.0,12.194,10.471
pre_6m20_pfHt1_Compound_10_uff_E=244.17_uff_E=244.13,-4.9,13.752,10.931
pre_6m20_pfHt1_Compound_110_uff_E=544.19_uff_E=544.10,-7.0,0.0,0.0
pre_6m20_pfHt1_Compound_110_uff_E=544.19_uff_E=544.10,-7.0,12.423,11.062
pre_6m20_pfHt1_Compound_110_uff_E=544.19_uff_E=544.10,-6.9,12.529,11.143
pre_6m20_pfHt1_Compound_110_uff_E=544.19_uff_E=544.10,-6.5,12.782,11.261
pre_6m20_pfHt1_Compound_110_uff_E=544.19_uff_E=544.10,-6.4,12.539,10.523
pre_6m20_pfHt1_Compound_110_uff_E=544.19_uff_E=544.10,-6.3,11.376,10.432
pre_6m20_pfHt1_Compound_110_uff_E=544.19_uff_E=544.10,-6.2,12.119,10.194
pre_6m20_pfHt1_Compound_110_uff_E=544.19_uff_E=544.10,-6.1,12.644,11.17
pre_6m20_pfHt1_Compound_110_uff_E=544.19_uff_E=544.10,-6.1,12.201,10.514
pre_6m20_pfHt1_Compound_111_uff_E=507.78_uff_E=507.55,-6.4,0.0,0.0
pre_6m20_pfHt1_Compound_111_uff_E=507.78_uff_E=507.55,-6.4,2.971,1.867
pre_6m20_pfHt1_Compound_111_uff_E=507.78_uff_E=507.55,-6.4,5.724,2.48
pre_6m20_pfHt1_Compound_111_uff_E=507.78_uff_E=507.55,-6.3,4.49,2.87
pre_6m20_pfHt1_Compound_111_uff_E=507.78_uff_E=507.55,-6.1,3.617,1.147
pre_6m20_pfHt1_Compound_111_uff_E=507.78_uff_E=507.55,-6.1,5.747,3.514
pre_6m20_pfHt1_Compound_111_uff_E=507.78_uff_E=507.55,-6.1,11.746,9.418
pre_6m20_pfHt1_Compound_111_uff_E=507.78_uff_E=507.55,-6.0,3.596,1.643
pre_6m20_pfHt1_Compound_111_uff_E=507.78_uff_E=507.55,-5.9,5.42,1.979
pre_6m20_pfHt1_Compound_112_uff_E=401.24_uff_E=401.01,-7.0,0.0,0.0
pre_6m20_pfHt1_Compound_112_uff_E=401.24_uff_E=401.01,-6.9,7.358,2.476
pre_6m20_pfHt1_Compound_112_uff_E=401.24_uff_E=401.01,-6.9,7.9,3.063
pre_6m20_pfHt1_Compound_112_uff_E=401.24_uff_E=401.01,-6.8,2.451,1.728
pre_6m20_pfHt1_Compound_112_uff_E=401.24_uff_E=401.01,-6.7,3.832,1.178
pre_6m20_pfHt1_Compound_112_uff_E=401.24_uff_E=401.01,-6.6,6.633,2.653
pre_6m20_pfHt1_Compound_112_uff_E=401.24_uff_E=401.01,-6.4,5.945,2.497
pre_6m20_pfHt1_Compound_112_uff_E=401.24_uff_E=401.01,-6.4,4.122,2.048
pre_6m20_pfHt1_Compound_112_uff_E=401.24_uff_E=401.01,-6.3,4.422,2.777
pre_6m20_pfHt1_Compound_113_uff_E=432.02_uff_E=385.54,-7.3,0.0,0.0
pre_6m20_pfHt1_Compound_113_uff_E=432.02_uff_E=385.54,-7.3,1.78,1.12
pre_6m20_pfHt1_Compound_113_uff_E=432.02_uff_E=385.54,-6.6,4.869,3.464
pre_6m20_pfHt1_Compound_113_uff_E=432.02_uff_E=385.54,-6.6,9.181,6.662
pre_6m20_pfHt1_Compound_113_uff_E=432.02_uff_E=385.54,-6.6,6.373,3.463
pre_6m20_pfHt1_Compound_113_uff_E=432.02_uff_E=385.54,-6.6,8.206,6.272
pre_6m20_pfHt1_Compound_113_uff_E=432.02_uff_E=385.54,-6.5,6.392,3.706
pre_6m20_pfHt1_Compound_113_uff_E=432.02_uff_E=385.54,-6.5,8.548,6.339
pre_6m20_pfHt1_Compound_113_uff_E=432.02_uff_E=385.54,-6.4,6.172,4.679
pre_6m20_pfHt1_Compound_114_uff_E=132.46_uff_E=132.38,-5.3,0.0,0.0
pre_6m20_pfHt1_Compound_114_uff_E=132.46_uff_E=132.38,-5.2,2.54,1.366
pre_6m20_pfHt1_Compound_114_uff_E=132.46_uff_E=132.38,-5.2,13.278,10.228
pre_6m20_pfHt1_Compound_114_uff_E=132.46_uff_E=132.38,-4.9,13.175,9.821
pre_6m20_pfHt1_Compound_114_uff_E=132.46_uff_E=132.38,-4.8,12.717,10.513
pre_6m20_pfHt1_Compound_114_uff_E=132.46_uff_E=132.38,-4.8,5.312,2.139
pre_6m20_pfHt1_Compound_114_uff_E=132.46_uff_E=132.38,-4.8,4.861,2.109
pre_6m20_pfHt1_Compound_114_uff_E=132.46_uff_E=132.38,-4.8,6.167,2.509
pre_6m20_pfHt1_Compound_114_uff_E=132.46_uff_E=132.38,-4.7,3.909,2.324
pre_6m20_pfHt1_Compound_115_uff_E=213.72_uff_E=213.63,-6.8,0.0,0.0
pre_6m20_pfHt1_Compound_115_uff_E=213.72_uff_E=213.63,-6.7,3.995,2.511
pre_6m20_pfHt1_Compound_115_uff_E=213.72_uff_E=213.63,-6.6,5.398,3.452
pre_6m20_pfHt1_Compound_115_uff_E=213.72_uff_E=213.63,-6.4,4.125,2.721
pre_6m20_pfHt1_Compound_115_uff_E=213.72_uff_E=213.63,-6.3,5.435,2.577
pre_6m20_pfHt1_Compound_115_uff_E=213.72_uff_E=213.63,-6.3,4.198,2.539
pre_6m20_pfHt1_Compound_115_uff_E=213.72_uff_E=213.63,-6.2,3.958,2.201
pre_6m20_pfHt1_Compound_115_uff_E=213.72_uff_E=213.63,-6.1,3.306,1.383
pre_6m20_pfHt1_Compound_115_uff_E=213.72_uff_E=213.63,-6.0,3.824,2.268
pre_6m20_pfHt1_Compound_116_uff_E=963.32_uff_E=963.22,-8.0,0.0,0.0
pre_6m20_pfHt1_Compound_116_uff_E=963.32_uff_E=963.22,-8.0,6.465,3.75
pre_6m20_pfHt1_Compound_116_uff_E=963.32_uff_E=963.22,-7.9,3.266,2.258
pre_6m20_pfHt1_Compound_116_uff_E=963.32_uff_E=963.22,-7.9,6.662,3.478
pre_6m20_pfHt1_Compound_116_uff_E=963.32_uff_E=963.22,-7.9,14.316,12.962
pre_6m20_pfHt1_Compound_116_uff_E=963.32_uff_E=963.22,-7.9,9.003,4.639
pre_6m20_pfHt1_Compound_116_uff_E=963.32_uff_E=963.22,-7.7,6.423,2.151
pre_6m20_pfHt1_Compound_116_uff_E=963.32_uff_E=963.22,-7.4,6.376,4.167
pre_6m20_pfHt1_Compound_116_uff_E=963.32_uff_E=963.22,-7.4,6.7,2.319
pre_6m20_pfHt1_Compound_117_uff_E=687.78_uff_E=687.72,-6.8,0.0,0.0
pre_6m20_pfHt1_Compound_117_uff_E=687.78_uff_E=687.72,-6.7,7.106,3.581
pre_6m20_pfHt1_Compound_117_uff_E=687.78_uff_E=687.72,-6.6,7.348,5.38
pre_6m20_pfHt1_Compound_117_uff_E=687.78_uff_E=687.72,-6.5,6.921,4.07
pre_6m20_pfHt1_Compound_117_uff_E=687.78_uff_E=687.72,-6.4,7.759,3.413
pre_6m20_pfHt1_Compound_117_uff_E=687.78_uff_E=687.72,-6.4,6.78,4.741
pre_6m20_pfHt1_Compound_117_uff_E=687.78_uff_E=687.72,-6.4,7.656,3.444
pre_6m20_pfHt1_Compound_117_uff_E=687.78_uff_E=687.72,-6.3,6.068,4.694
pre_6m20_pfHt1_Compound_117_uff_E=687.78_uff_E=687.72,-6.2,6.64,4.702
pre_6m20_pfHt1_Compound_118_uff_E=379.24_uff_E=379.02,-6.6,0.0,0.0
pre_6m20_pfHt1_Compound_118_uff_E=379.24_uff_E=379.02,-6.5,3.273,2.63
pre_6m20_pfHt1_Compound_118_uff_E=379.24_uff_E=379.02,-6.5,4.764,3.937
pre_6m20_pfHt1_Compound_118_uff_E=379.24_uff_E=379.02,-6.5,1.983,1.458
pre_6m20_pfHt1_Compound_118_uff_E=379.24_uff_E=379.02,-6.4,4.993,3.996
pre_6m20_pfHt1_Compound_118_uff_E=379.24_uff_E=379.02,-6.4,7.484,4.319
pre_6m20_pfHt1_Compound_118_uff_E=379.24_uff_E=379.02,-6.3,1.934,1.363
pre_6m20_pfHt1_Compound_118_uff_E=379.24_uff_E=379.02,-6.2,6.597,5.313
pre_6m20_pfHt1_Compound_118_uff_E=379.24_uff_E=379.02,-6.1,5.078,3.776
pre_6m20_pfHt1_Compound_119_uff_E=280.32_uff_E=277.44,-4.7,0.0,0.0
pre_6m20_pfHt1_Compound_119_uff_E=280.32_uff_E=277.44,-4.7,3.293,2.402
pre_6m20_pfHt1_Compound_119_uff_E=280.32_uff_E=277.44,-4.7,2.435,1.99
pre_6m20_pfHt1_Compound_119_uff_E=280.32_uff_E=277.44,-4.6,4.268,2.418
pre_6m20_pfHt1_Compound_119_uff_E=280.32_uff_E=277.44,-4.6,3.233,2.439
pre_6m20_pfHt1_Compound_119_uff_E=280.32_uff_E=277.44,-4.5,3.206,2.293
pre_6m20_pfHt1_Compound_119_uff_E=280.32_uff_E=277.44,-4.5,3.52,2.543
pre_6m20_pfHt1_Compound_119_uff_E=280.32_uff_E=277.44,-4.5,2.54,1.785
pre_6m20_pfHt1_Compound_119_uff_E=280.32_uff_E=277.44,-4.4,2.856,2.02
pre_6m20_pfHt1_Compound_11_uff_E=329.62_uff_E=329.57,-5.9,0.0,0.0
pre_6m20_pfHt1_Compound_11_uff_E=329.62_uff_E=329.57,-5.9,10.338,0.3
pre_6m20_pfHt1_Compound_11_uff_E=329.62_uff_E=329.57,-5.9,11.336,4.636
pre_6m20_pfHt1_Compound_11_uff_E=329.62_uff_E=329.57,-5.9,16.733,14.258
pre_6m20_pfHt1_Compound_11_uff_E=329.62_uff_E=329.57,-5.8,18.358,14.364
pre_6m20_pfHt1_Compound_11_uff_E=329.62_uff_E=329.57,-5.8,5.847,4.684
pre_6m20_pfHt1_Compound_11_uff_E=329.62_uff_E=329.57,-5.8,2.978,1.941
pre_6m20_pfHt1_Compound_11_uff_E=329.62_uff_E=329.57,-5.8,4.303,3.366
pre_6m20_pfHt1_Compound_11_uff_E=329.62_uff_E=329.57,-5.7,16.863,14.363
pre_6m20_pfHt1_Compound_120_uff_E=1670.87_uff_E=1517.96,-7.2,0.0,0.0
pre_6m20_pfHt1_Compound_120_uff_E=1670.87_uff_E=1517.96,-7.1,4.94,3.193
pre_6m20_pfHt1_Compound_120_uff_E=1670.87_uff_E=1517.96,-7.0,8.233,3.944
pre_6m20_pfHt1_Compound_120_uff_E=1670.87_uff_E=1517.96,-6.9,9.748,4.867
pre_6m20_pfHt1_Compound_120_uff_E=1670.87_uff_E=1517.96,-6.9,8.589,4.373
pre_6m20_pfHt1_Compound_120_uff_E=1670.87_uff_E=1517.96,-6.9,8.694,3.46
pre_6m20_pfHt1_Compound_120_uff_E=1670.87_uff_E=1517.96,-6.9,2.88,1.554
pre_6m20_pfHt1_Compound_120_uff_E=1670.87_uff_E=1517.96,-6.7,9.213,4.979
pre_6m20_pfHt1_Compound_120_uff_E=1670.87_uff_E=1517.96,-6.7,8.927,4.41
pre_6m20_pfHt1_Compound_121_uff_E=1813.12_uff_E=1811.73,-6.6,0.0,0.0
pre_6m20_pfHt1_Compound_121_uff_E=1813.12_uff_E=1811.73,-6.6,6.797,2.146
pre_6m20_pfHt1_Compound_121_uff_E=1813.12_uff_E=1811.73,-6.6,8.878,3.075
pre_6m20_pfHt1_Compound_121_uff_E=1813.12_uff_E=1811.73,-6.6,7.317,3.326
pre_6m20_pfHt1_Compound_121_uff_E=1813.12_uff_E=1811.73,-6.5,6.92,2.167
pre_6m20_pfHt1_Compound_121_uff_E=1813.12_uff_E=1811.73,-6.5,5.028,2.469
pre_6m20_pfHt1_Compound_121_uff_E=1813.12_uff_E=1811.73,-6.4,3.227,2.23
pre_6m20_pfHt1_Compound_121_uff_E=1813.12_uff_E=1811.73,-6.4,5.365,2.473
pre_6m20_pfHt1_Compound_121_uff_E=1813.12_uff_E=1811.73,-6.3,8.485,4.618
pre_6m20_pfHt1_Compound_122_uff_E=1554.24_uff_E=1554.14,-5.6,0.0,0.0
pre_6m20_pfHt1_Compound_122_uff_E=1554.24_uff_E=1554.14,-5.5,3.168,1.963
pre_6m20_pfHt1_Compound_122_uff_E=1554.24_uff_E=1554.14,-5.4,3.507,1.955
pre_6m20_pfHt1_Compound_122_uff_E=1554.24_uff_E=1554.14,-5.4,3.553,1.751
pre_6m20_pfHt1_Compound_122_uff_E=1554.24_uff_E=1554.14,-5.4,4.18,2.762
pre_6m20_pfHt1_Compound_122_uff_E=1554.24_uff_E=1554.14,-5.3,2.904,2.605
pre_6m20_pfHt1_Compound_122_uff_E=1554.24_uff_E=1554.14,-5.2,3.521,2.699
pre_6m20_pfHt1_Compound_122_uff_E=1554.24_uff_E=1554.14,-5.0,3.586,2.912
pre_6m20_pfHt1_Compound_122_uff_E=1554.24_uff_E=1554.14,-4.9,4.716,2.839
pre_6m20_pfHt1_Compound_123_uff_E=152.68_uff_E=152.59,-6.0,0.0,0.0
pre_6m20_pfHt1_Compound_123_uff_E=152.68_uff_E=152.59,-5.9,12.02,11.008
pre_6m20_pfHt1_Compound_123_uff_E=152.68_uff_E=152.59,-5.9,12.707,11.353
pre_6m20_pfHt1_Compound_123_uff_E=152.68_uff_E=152.59,-5.9,12.273,10.716
pre_6m20_pfHt1_Compound_123_uff_E=152.68_uff_E=152.59,-5.8,5.905,2.958
pre_6m20_pfHt1_Compound_123_uff_E=152.68_uff_E=152.59,-5.8,14.001,12.195
pre_6m20_pfHt1_Compound_123_uff_E=152.68_uff_E=152.59,-5.7,12.728,11.023
pre_6m20_pfHt1_Compound_123_uff_E=152.68_uff_E=152.59,-5.6,11.959,10.844
pre_6m20_pfHt1_Compound_123_uff_E=152.68_uff_E=152.59,-5.3,13.561,11.665
pre_6m20_pfHt1_Compound_124_uff_E=387.92_uff_E=370.96,-6.1,0.0,0.0
pre_6m20_pfHt1_Compound_124_uff_E=387.92_uff_E=370.96,-6.1,7.667,2.198
pre_6m20_pfHt1_Compound_124_uff_E=387.92_uff_E=370.96,-6.0,7.887,5.872
pre_6m20_pfHt1_Compound_124_uff_E=387.92_uff_E=370.96,-5.9,8.287,3.285
pre_6m20_pfHt1_Compound_124_uff_E=387.92_uff_E=370.96,-5.9,6.195,4.864
pre_6m20_pfHt1_Compound_124_uff_E=387.92_uff_E=370.96,-5.9,11.319,10.339
pre_6m20_pfHt1_Compound_124_uff_E=387.92_uff_E=370.96,-5.8,8.09,5.43
pre_6m20_pfHt1_Compound_124_uff_E=387.92_uff_E=370.96,-5.8,7.316,5.788
pre_6m20_pfHt1_Compound_124_uff_E=387.92_uff_E=370.96,-5.8,11.275,10.042
pre_6m20_pfHt1_Compound_125_uff_E=1149.83_uff_E=1116.98,-5.7,0.0,0.0
pre_6m20_pfHt1_Compound_125_uff_E=1149.83_uff_E=1116.98,-5.5,5.513,2.376
pre_6m20_pfHt1_Compound_125_uff_E=1149.83_uff_E=1116.98,-5.4,15.804,3.05
pre_6m20_pfHt1_Compound_125_uff_E=1149.83_uff_E=1116.98,-5.4,5.853,2.46
pre_6m20_pfHt1_Compound_125_uff_E=1149.83_uff_E=1116.98,-5.3,5.055,2.438
pre_6m20_pfHt1_Compound_125_uff_E=1149.83_uff_E=1116.98,-5.2,5.689,3.124
pre_6m20_pfHt1_Compound_125_uff_E=1149.83_uff_E=1116.98,-5.2,12.551,5.892
pre_6m20_pfHt1_Compound_125_uff_E=1149.83_uff_E=1116.98,-5.1,15.397,4.047
pre_6m20_pfHt1_Compound_125_uff_E=1149.83_uff_E=1116.98,-5.1,5.342,2.501
pre_6m20_pfHt1_Compound_126_uff_E=123.48_uff_E=123.39,-6.4,0.0,0.0
pre_6m20_pfHt1_Compound_126_uff_E=123.48_uff_E=123.39,-6.0,2.602,1.772
pre_6m20_pfHt1_Compound_126_uff_E=123.48_uff_E=123.39,-5.8,11.818,10.728
pre_6m20_pfHt1_Compound_126_uff_E=123.48_uff_E=123.39,-5.8,7.168,4.659
pre_6m20_pfHt1_Compound_126_uff_E=123.48_uff_E=123.39,-5.7,11.919,10.858
pre_6m20_pfHt1_Compound_126_uff_E=123.48_uff_E=123.39,-5.5,8.572,5.497
pre_6m20_pfHt1_Compound_126_uff_E=123.48_uff_E=123.39,-5.5,14.891,13.116
pre_6m20_pfHt1_Compound_126_uff_E=123.48_uff_E=123.39,-5.4,12.584,10.725
pre_6m20_pfHt1_Compound_126_uff_E=123.48_uff_E=123.39,-5.4,12.646,11.567
pre_6m20_pfHt1_Compound_127_uff_E=352.93_uff_E=352.73,-7.3,0.0,0.0
pre_6m20_pfHt1_Compound_127_uff_E=352.93_uff_E=352.73,-7.2,7.082,2.753
pre_6m20_pfHt1_Compound_127_uff_E=352.93_uff_E=352.73,-6.4,7.158,3.177
pre_6m20_pfHt1_Compound_127_uff_E=352.93_uff_E=352.73,-6.4,6.145,4.282
pre_6m20_pfHt1_Compound_127_uff_E=352.93_uff_E=352.73,-6.3,12.822,10.954
pre_6m20_pfHt1_Compound_127_uff_E=352.93_uff_E=352.73,-6.2,7.041,2.863
pre_6m20_pfHt1_Compound_127_uff_E=352.93_uff_E=352.73,-6.1,12.209,11.446
pre_6m20_pfHt1_Compound_127_uff_E=352.93_uff_E=352.73,-6.0,14.232,12.15
pre_6m20_pfHt1_Compound_127_uff_E=352.93_uff_E=352.73,-6.0,12.182,11.244
pre_6m20_pfHt1_Compound_128_uff_E=341.80_uff_E=341.71,-5.3,0.0,0.0
pre_6m20_pfHt1_Compound_128_uff_E=341.80_uff_E=341.71,-5.0,11.182,9.632
pre_6m20_pfHt1_Compound_128_uff_E=341.80_uff_E=341.71,-4.9,12.562,10.891
pre_6m20_pfHt1_Compound_128_uff_E=341.80_uff_E=341.71,-4.9,11.644,10.256
pre_6m20_pfHt1_Compound_128_uff_E=341.80_uff_E=341.71,-4.8,6.124,4.135
pre_6m20_pfHt1_Compound_128_uff_E=341.80_uff_E=341.71,-4.8,10.68,9.277
pre_6m20_pfHt1_Compound_128_uff_E=341.80_uff_E=341.71,-4.8,11.494,10.236
